,Country,EdLevel,YearsCodePro,ConvertedCompYearly
21244,United Kingdom,Bachelors,34,103408
21245,Other,Bachelors,8,24000
21246,Italy,No bachelors,1,22056
21247,United Kingdom,Bachelors,23,74970
21248,Other,Bachelors,24,77831
21249,United States of America,Bachelors,7,160000
21250,Other,No bachelors,6,26491
21251,Australia,Bachelors,20,86853
21252,Germany,Post-grad,12,32424
21253,Sweden,Bachelors,2,40808
21254,United States of America,No bachelors,13,155000
21255,India,Bachelors,15,90751
21256,India,Bachelors,15,146598
21257,Brazil,Bachelors,10,76968
21258,Brazil,Bachelors,4,32988
21259,United States of America,Bachelors,8,159000
21260,Other,No bachelors,9,104316
21261,Other,Bachelors,4,14124
21262,Brazil,Bachelors,30,60480
21263,United States of America,Bachelors,18,155000
21264,United States of America,Bachelors,16,101000
21265,United States of America,Bachelors,6,85555
21266,Other,No bachelors,2,11700
21267,Brazil,Bachelors,26,18144
21268,Other,No bachelors,12,72771
21269,Other,Bachelors,13,40000
21270,Other,No bachelors,7,34296
21271,Germany,Bachelors,6,77832
21272,France,No bachelors,16,75669
21273,Other,No bachelors,15,33084
21274,United States of America,Post-grad,4,120000
21275,United States of America,No bachelors,8,100000
21276,Brazil,No bachelors,5,14568
21277,United Kingdom,No bachelors,15,96945
21278,Other,Bachelors,7,44580
21279,United States of America,Bachelors,4,75000
21280,Sweden,Bachelors,3,46632
21281,Brazil,Bachelors,8,17868
21282,France,No bachelors,3,42158
21283,Other,No bachelors,20,70264
21284,Germany,Bachelors,4,75669
21285,France,No bachelors,10,57292
21286,Brazil,No bachelors,11,51408
21287,Brazil,No bachelors,12,41232
21288,United Kingdom,Bachelors,11,90482
21289,Brazil,Bachelors,19,20616
21290,Netherlands,Bachelors,10,70264
21291,Canada,No bachelors,1,37816
21292,Switzerland,Post-grad,5,89451
21293,United States of America,Bachelors,23,180000
21294,Australia,Bachelors,7,69482
21295,United States of America,No bachelors,8,104000
21296,France,No bachelors,18,31128
21297,India,Bachelors,8,27923
21298,Other,No bachelors,4,25692
21299,Other,Bachelors,10,64860
21300,Germany,No bachelors,13,113503
21301,Germany,No bachelors,4,59454
21302,Other,Bachelors,2,44320
21303,Other,Bachelors,4,22956
21304,United Kingdom,Bachelors,4,84019
21305,Germany,No bachelors,8,59454
21306,United States of America,Bachelors,8,180000
21307,Germany,No bachelors,6,104423
21308,Other,Bachelors,3,45396
21309,Germany,Bachelors,6,46698
21310,United States of America,No bachelors,7,80000
21311,Netherlands,No bachelors,6,43239
21312,Poland,Bachelors,4,51636
21313,Other,No bachelors,5,32429
21314,United States of America,Bachelors,3,130000
21315,United States of America,Bachelors,3,100000
21316,Other,Bachelors,4,11676
21317,Switzerland,Bachelors,7,96566
21318,Other,No bachelors,0.5,38916
21319,Other,No bachelors,7,64860
21320,United Kingdom,No bachelors,15,70205
21321,United Kingdom,Bachelors,11,90482
21322,United States of America,Bachelors,13,63315
21323,Sweden,No bachelors,28,70572
21324,Other,No bachelors,24,68102
21325,Spain,No bachelors,0.5,19458
21326,Other,No bachelors,3,33732
21327,United States of America,Bachelors,13,90000
21328,Other,Bachelors,8,67452
21329,Other,No bachelors,10,11676
21330,Other,No bachelors,4,48456
21331,Other,No bachelors,30,50000
21332,United States of America,Bachelors,14,105000
21333,Spain,No bachelors,2,17296
21334,United States of America,No bachelors,0.5,96000
21335,Other,No bachelors,4,23505
21336,United States of America,Bachelors,6,160000
21337,Russia,Bachelors,2,11328
21338,United Kingdom,No bachelors,20,44988
21339,United Kingdom,Bachelors,25,69800
21340,Switzerland,No bachelors,16,111814
21341,United Kingdom,No bachelors,7,84019
21342,United Kingdom,Bachelors,9,40070
21343,Other,No bachelors,5,79602
21344,Germany,No bachelors,3,32424
21345,United States of America,Bachelors,5,100000
21346,United States of America,Bachelors,4,162000
21347,United States of America,No bachelors,4,105000
21348,Russia,Bachelors,19,51901
21349,Other,No bachelors,7,51660
21350,France,No bachelors,1,39456
21351,United States of America,No bachelors,12,135000
21352,United Kingdom,Bachelors,17,193889
21353,United Kingdom,Post-grad,14,48472
21354,United States of America,Bachelors,7,108000
21355,United States of America,Bachelors,5,70000
21356,United States of America,No bachelors,3,93000
21357,United States of America,No bachelors,4,98000
21358,United States of America,No bachelors,6,110000
21359,United States of America,Bachelors,12,139000
21360,Sweden,Bachelors,9,48480
21361,United States of America,Bachelors,6,110000
21362,Brazil,Bachelors,15,32988
21363,Sweden,No bachelors,14,79776
21364,United States of America,Bachelors,30,95000
21365,United States of America,No bachelors,9,142500
21366,United States of America,Bachelors,2,84000
21367,United States of America,Bachelors,7,150000
21368,Canada,No bachelors,9,95000
21369,United States of America,No bachelors,3,47000
21370,United States of America,Bachelors,3,75000
21371,United Kingdom,Bachelors,7,90482
21372,United States of America,No bachelors,5,135000
21373,United States of America,No bachelors,16,168000
21374,Canada,Bachelors,14,68068
21375,United States of America,Bachelors,25,95000
21376,Other,No bachelors,11,17652
21377,United States of America,Bachelors,2,102000
21378,Canada,Bachelors,8,52942
21379,United States of America,Bachelors,8,150000
21380,United States of America,No bachelors,5,140000
21381,United States of America,Bachelors,6,150000
21382,United Kingdom,No bachelors,26,90482
21383,United States of America,Bachelors,11,135000
21384,Canada,No bachelors,9,132355
21385,United States of America,No bachelors,35,150000
21386,United States of America,Bachelors,18,155000
21387,France,No bachelors,9,69183
21388,Sweden,No bachelors,21,60144
21389,United States of America,Bachelors,6,165000
21390,Germany,No bachelors,6,53136
21391,United Kingdom,No bachelors,11,74970
21392,United States of America,Bachelors,28,100000
21393,Canada,Bachelors,8,64287
21394,United Kingdom,No bachelors,25,64630
21395,Canada,No bachelors,32,136136
21396,United States of America,Bachelors,10,108000
21397,India,Bachelors,2,16754
21398,United Kingdom,No bachelors,1,42656
21399,Canada,No bachelors,6,68068
21400,France,No bachelors,7,86478
21401,United States of America,Bachelors,12,130000
21402,United States of America,Bachelors,13,105000
21403,Brazil,No bachelors,4,27492
21404,Canada,Bachelors,12,121010
21405,United States of America,Bachelors,3,102000
21406,United States of America,No bachelors,25,210000
21407,Canada,No bachelors,15,88489
21408,United States of America,Bachelors,2,90000
21409,United States of America,No bachelors,3,74000
21410,United States of America,Bachelors,15,160000
21411,Canada,No bachelors,8,93026
21412,United States of America,Bachelors,45,150000
21413,Other,No bachelors,7,86844
21414,United States of America,No bachelors,22,150000
21415,United Kingdom,Bachelors,42,71093
21416,United States of America,Bachelors,5,78000
21417,Other,Bachelors,20,52044
21418,United States of America,Bachelors,3,120000
21419,United States of America,No bachelors,8,180000
21420,United States of America,Bachelors,4,95000
21421,Canada,Bachelors,4,79413
21422,United States of America,No bachelors,5,75000
21423,United States of America,No bachelors,9,170000
21424,United States of America,No bachelors,41,165000
21425,United States of America,Bachelors,3,80000
21426,Canada,Bachelors,5,71093
21427,United States of America,Bachelors,25,210000
21428,Canada,Bachelors,5,80169
21429,United States of America,Bachelors,30,100000
21430,Canada,No bachelors,11,90758
21431,Germany,No bachelors,4,73507
21432,United States of America,No bachelors,15,160000
21433,United States of America,No bachelors,3,63617
21434,France,No bachelors,3,60535
21435,United States of America,No bachelors,18,213900
21436,United States of America,No bachelors,6,120000
21437,Canada,Bachelors,49,90758
21438,United States of America,Bachelors,21,145000
21439,Turkey,Bachelors,0.5,33528
21440,United States of America,Bachelors,4,120000
21441,Canada,No bachelors,5,46891
21442,United States of America,Bachelors,3,120000
21443,Spain,Post-grad,6,67021
21444,United States of America,Bachelors,15,135000
21445,United States of America,Bachelors,6,203333
21446,Other,Bachelors,1,21708
21447,United States of America,Bachelors,12,125000
21448,Other,Bachelors,8,36262
21449,United States of America,No bachelors,26,116000
21450,Canada,Bachelors,21,113447
21451,United States of America,Bachelors,5,80000
21452,United States of America,No bachelors,7,160000
21453,Canada,Bachelors,4,56723
21454,United States of America,No bachelors,20,135000
21455,Other,Bachelors,7,96000
21456,United States of America,Bachelors,4,70000
21457,Netherlands,No bachelors,8,58368
21458,United States of America,Bachelors,0.5,81000
21459,United Kingdom,No bachelors,5,64630
21460,United Kingdom,Bachelors,33,50411
21461,Other,Bachelors,2,71715
21462,Switzerland,No bachelors,6,69121
21463,United Kingdom,No bachelors,5,90482
21464,Other,No bachelors,3,19460
21465,United States of America,No bachelors,20,135000
21466,United States of America,Bachelors,20,153000
21467,India,Bachelors,11,19142
21468,United States of America,No bachelors,6,80000
21469,Canada,Bachelors,1,83194
21470,United States of America,No bachelors,15,70000
21471,France,No bachelors,1,27240
21472,France,No bachelors,0.5,17256
21473,United States of America,Bachelors,0.5,62000
21474,United States of America,Post-grad,2,50000
21475,Germany,Bachelors,3,35304
21476,United States of America,No bachelors,6,74500
21477,Spain,No bachelors,12,140527
21478,Germany,Bachelors,4,54049
21479,United States of America,No bachelors,12,250000
21480,Poland,No bachelors,6,19740
21481,United States of America,Bachelors,3,64000
21482,United States of America,No bachelors,23,180000
21483,United States of America,Bachelors,16,110000
21484,United States of America,Bachelors,11,125000
21485,France,No bachelors,23,81074
21486,Sweden,Bachelors,3,42960
21487,United States of America,Bachelors,3,86000
21488,Canada,Bachelors,20,161095
21489,Other,Post-grad,15,75669
21490,United States of America,No bachelors,31,137000
21491,United Kingdom,Bachelors,33,90482
21492,Other,No bachelors,5,25236
21493,Other,No bachelors,3,90054
21494,United Kingdom,Bachelors,22,54288
21495,Other,No bachelors,16,83664
21496,Germany,No bachelors,16,48644
21497,Other,Bachelors,5,59676
21498,United States of America,Bachelors,22,120000
21499,Other,Bachelors,5,23782
21500,United States of America,Bachelors,9,145000
21501,United Kingdom,Bachelors,15,157696
21502,United States of America,No bachelors,6,130000
21503,Netherlands,Bachelors,31,86478
21504,Other,Bachelors,5,18000
21505,United States of America,Bachelors,9,110000
21506,Other,No bachelors,11,38784
21507,Norway,No bachelors,5,90636
21508,United States of America,Bachelors,9,160000
21509,United States of America,No bachelors,4,67000
21510,France,No bachelors,14,44268
21511,United States of America,No bachelors,9,138000
21512,United States of America,Bachelors,5,68500
21513,Spain,Bachelors,1,17296
21514,Other,No bachelors,1,13476
21515,Germany,No bachelors,7,54480
21516,Poland,No bachelors,17,65800
21517,United States of America,Bachelors,5,175000
21518,United States of America,Bachelors,16,140000
21519,United States of America,Post-grad,10,170000
21520,Other,No bachelors,2,14592
21521,United States of America,Bachelors,16,80000
21522,Germany,No bachelors,4,64860
21523,Canada,No bachelors,5,30253
21524,Canada,No bachelors,25,56723
21525,United Kingdom,Bachelors,4,78848
21526,United States of America,Bachelors,2,79000
21527,Canada,No bachelors,4,68068
21528,Other,No bachelors,6,16860
21529,United States of America,Bachelors,5,90000
21530,United States of America,No bachelors,38,250000
21531,United Kingdom,No bachelors,15,71093
21532,Other,No bachelors,10,43104
21533,United States of America,Post-grad,30,150000
21534,Brazil,Bachelors,6,20064
21535,Brazil,Bachelors,10,41232
21536,Brazil,Bachelors,3,16488
21537,United States of America,No bachelors,23,175000
21538,Other,Bachelors,2,52000
21539,United States of America,Bachelors,9,103000
21540,Germany,Bachelors,20,55776
21541,United States of America,Bachelors,20,99600
21542,Germany,Bachelors,10,77831
21543,United States of America,No bachelors,5,70000
21544,United States of America,Bachelors,7,89000
21545,United States of America,Bachelors,6,105000
21546,Other,Bachelors,10,27025
21547,Brazil,No bachelors,1,21996
21548,Canada,No bachelors,9,88489
21549,Australia,Bachelors,8,47412
21550,Other,Bachelors,0.5,14676
21551,Brazil,Bachelors,6,21996
21552,United States of America,Bachelors,10,85000
21553,United States of America,Bachelors,23,190000
21554,Australia,Bachelors,8,80172
21555,France,No bachelors,12,72426
21556,United States of America,No bachelors,16,150000
21557,Canada,No bachelors,0.5,56723
21558,United States of America,Bachelors,0.5,45000
21559,Germany,Post-grad,15,86478
21560,Turkey,Bachelors,2,29580
21561,Germany,Bachelors,4,58116
21562,Other,Bachelors,7,46044
21563,Other,No bachelors,3,16164
21564,Other,No bachelors,4,33732
21565,United States of America,Bachelors,3,100000
21566,Other,Bachelors,2,19452
21567,United States of America,No bachelors,14,130000
21568,India,No bachelors,10,41885
21569,United States of America,Bachelors,11,37440
21570,United Kingdom,Post-grad,5,68507
21571,United States of America,Bachelors,2,70000
21572,Other,Bachelors,6,38928
21573,United States of America,Bachelors,2,73500
21574,United States of America,Bachelors,17,190000
21575,United Kingdom,No bachelors,6,107285
21576,United States of America,Post-grad,8,205000
21577,United States of America,No bachelors,12,175000
21578,Germany,Bachelors,7,51888
21579,United States of America,No bachelors,20,140000
21580,United States of America,No bachelors,5,200000
21581,United Kingdom,Bachelors,4,60752
21582,United States of America,Bachelors,3,82500
21583,United States of America,Bachelors,1,68000
21584,Other,Bachelors,8,42000
21585,Spain,No bachelors,15,49725
21586,Other,Bachelors,7,25872
21587,Canada,Bachelors,26,211768
21588,India,Bachelors,10,29320
21589,United States of America,Bachelors,14,170000
21590,United States of America,Bachelors,37,85000
21591,United States of America,Bachelors,6,135000
21592,Poland,No bachelors,5,50124
21593,United States of America,No bachelors,3,106500
21594,United States of America,No bachelors,20,80000
21595,United States of America,Bachelors,9,90000
21596,United States of America,Bachelors,29,180000
21597,United States of America,Bachelors,23,140000
21598,United States of America,No bachelors,10,130000
21599,United States of America,Bachelors,6,97500
21600,United States of America,Bachelors,9,104000
21601,United States of America,Bachelors,6,140000
21602,United States of America,Bachelors,3,34000
21603,Other,Bachelors,3,12360
21604,United Kingdom,Bachelors,10,64630
21605,Other,Bachelors,10,80797
21606,Canada,No bachelors,12,68068
21607,Netherlands,No bachelors,40,91056
21608,Canada,Bachelors,31,189078
21609,United States of America,Bachelors,5,82000
21610,United States of America,No bachelors,10,130000
21611,United States of America,Bachelors,6,77000
21612,United States of America,No bachelors,3,55000
21613,United Kingdom,Bachelors,36,80141
21614,United States of America,Bachelors,45,150000
21615,United States of America,No bachelors,16,110000
21616,United States of America,No bachelors,7,104600
21617,Other,Bachelors,10,53208
21618,United States of America,Bachelors,16,85000
21619,United States of America,No bachelors,21,131000
21620,United States of America,Bachelors,11,127000
21621,United States of America,Bachelors,6,113400
21622,Canada,Bachelors,2,48404
21623,Other,No bachelors,8,51384
21624,Russia,No bachelors,33,33972
21625,United States of America,Bachelors,12,200000
21626,United States of America,Bachelors,6,115000
21627,Switzerland,No bachelors,1,64644
21628,United States of America,Bachelors,1,85000
21629,United Kingdom,Bachelors,9,87896
21630,United States of America,Bachelors,11,85000
21631,Other,No bachelors,12,10344
21632,United States of America,Bachelors,18,130000
21633,Other,Bachelors,10,71672
21634,Canada,Bachelors,27,75631
21635,France,No bachelors,9,27025
21636,France,No bachelors,9,67021
21637,United States of America,Bachelors,15,150000
21638,United States of America,No bachelors,12,155000
21639,United States of America,Bachelors,2,95000
21640,Brazil,Bachelors,6,41232
21641,United States of America,Bachelors,21,70000
21642,United Kingdom,No bachelors,20,89189
21643,United States of America,No bachelors,7,220000
21644,United States of America,No bachelors,40,100000
21645,United States of America,No bachelors,6,150000
21646,Germany,No bachelors,15,101612
21647,United States of America,Bachelors,12,118000
21648,Canada,No bachelors,21,147481
21649,United States of America,No bachelors,15,180000
21650,United States of America,Bachelors,25,97000
21651,United States of America,No bachelors,14,126185
21652,Other,No bachelors,15,23892
21653,United States of America,Bachelors,14,104500
21654,United States of America,No bachelors,21,71500
21655,Brazil,No bachelors,31,96209
21656,Other,Bachelors,13,39500
21657,United States of America,No bachelors,15,97000
21658,United States of America,Bachelors,10,170000
21659,India,No bachelors,2,23735
21660,United States of America,Bachelors,10,98000
21661,Other,No bachelors,15,19080
21662,United Kingdom,Bachelors,1,45241
21663,Sweden,Bachelors,3,52776
21664,Other,No bachelors,14,81074
21665,United States of America,No bachelors,22,81000
21666,Other,Bachelors,3,23352
21667,France,No bachelors,2,34591
21668,Spain,Post-grad,4,38916
21669,Russia,Bachelors,6,12000
21670,Other,No bachelors,8,96000
21671,France,No bachelors,2,45401
21672,United Kingdom,No bachelors,5,34900
21673,France,No bachelors,4,59454
21674,United States of America,Bachelors,13,183000
21675,Norway,No bachelors,2,63119
21676,United States of America,Bachelors,8,150000
21677,United States of America,No bachelors,10,50000
21678,United States of America,Bachelors,9,125000
21679,United States of America,Bachelors,5,161000
21680,United Kingdom,No bachelors,2,45241
21681,Other,No bachelors,10,10200
21682,United States of America,No bachelors,50,110000
21683,United States of America,Bachelors,9,105000
21684,United States of America,Bachelors,14,54000
21685,United States of America,No bachelors,8,240000
21686,United States of America,Bachelors,1,180000
21687,Spain,No bachelors,12,20760
21688,Other,No bachelors,10,91883
21689,Other,No bachelors,15,38928
21690,United States of America,Bachelors,22,75000
21691,Canada,Bachelors,5,60504
21692,United States of America,Bachelors,7,165000
21693,United States of America,Bachelors,4,77000
21694,United States of America,No bachelors,23,144000
21695,Netherlands,No bachelors,6,86478
21696,United States of America,Bachelors,10,42000
21697,United States of America,No bachelors,20,166000
21698,France,No bachelors,1,41077
21699,United Kingdom,No bachelors,5,161574
21700,Other,Bachelors,15,39432
21701,Other,No bachelors,17,25944
21702,United States of America,Bachelors,7,115000
21703,Other,No bachelors,10,96960
21704,Other,Post-grad,11,67872
21705,United States of America,Bachelors,7,140000
21706,United States of America,Bachelors,23,160000
21707,United States of America,No bachelors,6,80000
21708,United States of America,Bachelors,39,99750
21709,United States of America,No bachelors,9,125000
21710,United States of America,No bachelors,14,190000
21711,Other,Bachelors,22,90734
21712,United States of America,No bachelors,20,115000
21713,United States of America,Bachelors,5,155000
21714,United States of America,Bachelors,0.5,72000
21715,Other,No bachelors,10,73507
21716,United States of America,No bachelors,30,150000
21717,Poland,Bachelors,7,33408
21718,Norway,No bachelors,1,51703
21719,United States of America,No bachelors,48,145000
21720,Other,No bachelors,11,72000
21721,Germany,No bachelors,12,43239
21722,United States of America,Bachelors,35,101500
21723,United States of America,Bachelors,9,120000
21724,Canada,No bachelors,24,90758
21725,Germany,No bachelors,4,38916
21726,United States of America,Bachelors,13,150000
21727,United States of America,Bachelors,34,156000
21728,Other,Bachelors,23,60324
21729,Canada,No bachelors,12,78657
21730,Brazil,Bachelors,6,41232
21731,Other,Bachelors,2,10344
21732,Norway,No bachelors,7,99264
21733,United Kingdom,Bachelors,3,71093
21734,Germany,No bachelors,5,41077
21735,Other,Bachelors,13,39996
21736,Other,Post-grad,15,77141
21737,United States of America,Bachelors,24,120000
21738,Other,Bachelors,4,16800
21739,Sweden,No bachelors,2,42960
21740,United States of America,Bachelors,5,72080
21741,United States of America,No bachelors,20,200000
21742,Turkey,Bachelors,23,42735
21743,United States of America,Bachelors,1,86000
21744,United Kingdom,Bachelors,2,124089
21745,United States of America,Bachelors,3,48000
21746,United States of America,Bachelors,5,65000
21747,Other,Bachelors,10,72000
21748,United States of America,No bachelors,26,186000
21749,France,No bachelors,7,59454
21750,Spain,No bachelors,24,16476
21751,United States of America,Bachelors,0.5,55000
21752,United Kingdom,Bachelors,6,96945
21753,Canada,Bachelors,18,94539
21754,Sweden,No bachelors,2,46638
21755,United States of America,Bachelors,7,120000
21756,United States of America,Bachelors,36,130000
21757,Spain,No bachelors,17,43239
21758,United States of America,Post-grad,6,168000
21759,United States of America,Bachelors,6,84000
21760,United States of America,Bachelors,3,87636
21761,United States of America,Bachelors,6,105000
21762,Germany,No bachelors,5,59676
21763,United States of America,No bachelors,13,225000
21764,Other,No bachelors,6,22956
21765,United States of America,No bachelors,4,73000
21766,United States of America,Bachelors,7,95000
21767,Canada,No bachelors,6,90758
21768,Canada,No bachelors,1,49917
21769,United States of America,No bachelors,10,192000
21770,United States of America,No bachelors,25,175000
21771,Netherlands,No bachelors,2,67453
21772,Other,Bachelors,15,72000
21773,United States of America,Bachelors,14,100000
21774,United States of America,Bachelors,27,100000
21775,Brazil,Bachelors,7,34360
21776,United States of America,Bachelors,4,66000
21777,United States of America,No bachelors,6,130000
21778,United States of America,Bachelors,2,100000
21779,United States of America,Bachelors,2,80000
21780,United States of America,Bachelors,7,105000
21781,United Kingdom,No bachelors,5,117626
21782,United States of America,No bachelors,8,125000
21783,United States of America,No bachelors,15,120000
21784,France,No bachelors,3,62697
21785,Poland,Bachelors,2,12144
21786,Other,Bachelors,5,39444
21787,United States of America,No bachelors,10,112000
21788,United States of America,No bachelors,20,128000
21789,United States of America,Bachelors,9,115000
21790,Canada,No bachelors,18,105884
21791,Canada,Bachelors,3,83194
21792,Canada,Bachelors,2,45379
21793,Brazil,Bachelors,8,43523
21794,United States of America,Bachelors,6,120000
21795,United States of America,Post-grad,10,171000
21796,India,Bachelors,1,10056
21797,Canada,Bachelors,1,45379
21798,United States of America,Post-grad,5,125000
21799,Russia,No bachelors,4,52848
21800,Other,Bachelors,0.5,14808
21801,Brazil,Bachelors,3,23508
21802,Other,No bachelors,7,37813
21803,United States of America,No bachelors,24,194000
21804,United States of America,Bachelors,9,205000
21805,United States of America,Bachelors,15,190000
21806,Canada,Bachelors,24,98321
21807,United States of America,Bachelors,2,90000
21808,Other,No bachelors,5,11640
21809,United States of America,Bachelors,23,130000
21810,United States of America,Bachelors,6,99986
21811,India,No bachelors,6,44064
21812,United States of America,Bachelors,6,150000
21813,United States of America,Bachelors,5,119000
21814,Germany,No bachelors,2,45396
21815,Other,Bachelors,7,23916
21816,Other,No bachelors,12,69000
21817,Other,Bachelors,10,58548
21818,United States of America,Bachelors,3,112000
21819,United States of America,Bachelors,8,160000
21820,Germany,No bachelors,8,41508
21821,Other,No bachelors,6,30250
21822,United States of America,No bachelors,4,83200
21823,United States of America,Bachelors,7,155000
21824,Canada,No bachelors,6,49160
21825,Poland,No bachelors,3,30372
21826,Canada,No bachelors,5,59749
21827,Brazil,Bachelors,2,20340
21828,Germany,Bachelors,4,129259
21829,United States of America,No bachelors,20,225000
21830,Other,No bachelors,7,110940
21831,Other,No bachelors,12,42756
21832,India,Bachelors,1,25128
21833,United Kingdom,Bachelors,10,64630
21834,Other,Bachelors,2,18876
21835,United States of America,Bachelors,29,160000
21836,United States of America,Post-grad,5,130000
21837,United States of America,Bachelors,6,102000
21838,Other,No bachelors,4,16548
21839,United States of America,Bachelors,17,140000
21840,United States of America,No bachelors,15,110000
21841,United States of America,Bachelors,6,215000
21842,United States of America,No bachelors,10,157400
21843,India,Bachelors,7,34904
21844,United States of America,Bachelors,10,155000
21845,Brazil,Bachelors,6,27432
21846,United States of America,Bachelors,6,130000
21847,United States of America,Bachelors,10,133000
21848,Netherlands,No bachelors,8,42156
21849,United States of America,No bachelors,8,175000
21850,United Kingdom,No bachelors,10,84019
21851,United Kingdom,Bachelors,3,51704
21852,Other,No bachelors,0.5,45401
21853,United States of America,No bachelors,25,144000
21854,United States of America,No bachelors,38,160000
21855,United Kingdom,Post-grad,43,71093
21856,Germany,No bachelors,8,70044
21857,Canada,Bachelors,2,52942
21858,France,No bachelors,7,65940
21859,France,Bachelors,1,23352
21860,United States of America,No bachelors,3,142000
21861,United States of America,No bachelors,2,76000
21862,United States of America,Bachelors,0.5,53000
21863,United States of America,Bachelors,8,73000
21864,Other,No bachelors,4,27396
21865,United States of America,No bachelors,35,68000
21866,United States of America,Bachelors,7,145000
21867,Brazil,Bachelors,8,45814
21868,Other,Bachelors,10,52970
21869,Other,No bachelors,16,72636
21870,United States of America,Bachelors,0.5,110000
21871,United States of America,No bachelors,8,60000
21872,United States of America,No bachelors,10,200000
21873,United States of America,Bachelors,4,105000
21874,Other,Bachelors,8,70044
21875,Spain,Bachelors,16,48644
21876,United States of America,Bachelors,17,102000
21877,United Kingdom,No bachelors,3,103408
21878,Canada,No bachelors,6,50408
21879,United Kingdom,Bachelors,5,52996
21880,United States of America,Bachelors,11,70000
21881,United States of America,Bachelors,4,140000
21882,United States of America,Bachelors,3,135000
21883,Brazil,Bachelors,6,23640
21884,United States of America,Bachelors,3,70000
21885,United States of America,No bachelors,6,82000
21886,Canada,No bachelors,6,113069
21887,Canada,No bachelors,4,52942
21888,Canada,No bachelors,15,102102
21889,United States of America,No bachelors,22,150000
21890,United States of America,No bachelors,27,125000
21891,United States of America,Bachelors,20,165000
21892,Other,Bachelors,3,64548
21893,United States of America,Bachelors,5,90000
21894,Other,No bachelors,4,64860
21895,Canada,No bachelors,9,245045
21896,Other,Bachelors,7,64860
21897,Brazil,No bachelors,14,38713
21898,United States of America,Bachelors,5,211603
21899,United States of America,No bachelors,2,65000
21900,United Kingdom,Bachelors,15,109871
21901,United States of America,No bachelors,16,115000
21902,United States of America,Bachelors,11,140000
21903,Other,Bachelors,2,35761
21904,Canada,No bachelors,0.5,56724
21905,India,Bachelors,0.5,15912
21906,United States of America,No bachelors,26,130000
21907,United States of America,Bachelors,15,93000
21908,France,No bachelors,7,50806
21909,United States of America,Bachelors,20,200000
21910,United States of America,No bachelors,3,87000
21911,Norway,No bachelors,6,116532
21912,Other,No bachelors,5,120000
21913,United States of America,No bachelors,25,76000
21914,United States of America,No bachelors,8,129000
21915,United States of America,Bachelors,37,240000
21916,Italy,Bachelors,13,43239
21917,Brazil,No bachelors,4,43980
21918,Brazil,Bachelors,6,21996
21919,United States of America,Bachelors,28,130000
21920,France,No bachelors,1,25944
21921,Sweden,No bachelors,5,51552
21922,Other,Bachelors,7,33732
21923,United Kingdom,Bachelors,22,77556
21924,United States of America,Bachelors,3,70000
21925,United States of America,No bachelors,26,110000
21926,Other,Bachelors,1,47184
21927,Germany,No bachelors,7,65940
21928,United States of America,Bachelors,24,135000
21929,Other,No bachelors,16,66716
21930,Canada,No bachelors,8,64287
21931,Germany,Bachelors,4,62697
21932,United Kingdom,No bachelors,30,129259
21933,United States of America,Bachelors,18,240000
21934,United Kingdom,No bachelors,5,103408
21935,Canada,No bachelors,1,49160
21936,United States of America,No bachelors,5,130000
21937,Canada,No bachelors,2,25100
21938,Brazil,Bachelors,6,20616
21939,Brazil,Bachelors,3,19236
21940,United States of America,No bachelors,24,200000
21941,Other,Bachelors,0.5,10344
21942,India,No bachelors,7,12396
21943,United States of America,Bachelors,6,145000
21944,United States of America,Bachelors,5,100000
21945,France,No bachelors,15,59454
21946,United States of America,No bachelors,3,86000
21947,United Kingdom,Bachelors,15,82726
21948,United States of America,No bachelors,23,210000
21949,Other,Bachelors,3,33612
21950,United States of America,Bachelors,19,105000
21951,Other,Bachelors,7,57157
21952,United States of America,Post-grad,7,140000
21953,Canada,No bachelors,4,79413
21954,United States of America,Bachelors,9,105000
21955,Other,No bachelors,4,11868
21956,United States of America,Bachelors,3,85000
21957,France,No bachelors,3,43239
21958,United States of America,No bachelors,2,80000
21959,United States of America,Bachelors,6,65000
21960,Brazil,Bachelors,6,18912
21961,United States of America,No bachelors,12,120000
21962,Sweden,Bachelors,11,62592
21963,United States of America,Bachelors,23,150000
21964,Russia,No bachelors,5,18876
21965,Other,No bachelors,3,26520
21966,Brazil,No bachelors,8,24744
21967,United States of America,Bachelors,16,180000
21968,Other,Bachelors,7,50472
21969,United States of America,No bachelors,6,120000
21970,Other,Bachelors,32,23208
21971,Other,No bachelors,17,34020
21972,United States of America,No bachelors,3,94000
21973,United States of America,No bachelors,5,120000
21974,United States of America,No bachelors,8,75000
21975,United States of America,Bachelors,6,120000
21976,Canada,Bachelors,16,189078
21977,United States of America,Bachelors,3,80000
21978,United States of America,Bachelors,15,120000
21979,Canada,No bachelors,25,74119
21980,United States of America,Bachelors,2,66000
21981,United States of America,No bachelors,6,215000
21982,United States of America,Bachelors,11,120000
21983,United States of America,Bachelors,20,128000
21984,France,No bachelors,2,47563
21985,United States of America,Bachelors,7,110000
21986,United States of America,Bachelors,15,135000
21987,United States of America,Bachelors,6,130000
21988,Brazil,Bachelors,9,54972
21989,United States of America,Bachelors,4,115000
21990,United States of America,No bachelors,34,150000
21991,Italy,Post-grad,9,50592
21992,United States of America,Bachelors,4,110000
21993,United States of America,Bachelors,9,136000
21994,United States of America,No bachelors,4,190000
21995,Other,No bachelors,6,36840
21996,United States of America,Bachelors,40,130000
